BAR_1O_L2_HKPG	10.48322/pjg0-gg59	spase://NASA/NumericalData/BARREL/1O/Housekeeping/L2/PT40S	yes	
BAR_1O_L2_MAGN	10.48322/6nf2-qd32	spase://NASA/NumericalData/BARREL/1O/Magnetometer/L2/PT0.25S	yes	
BAR_1O_L2_MSPC	10.48322/cpje-0a97	spase://NASA/NumericalData/BARREL/1O/MediumSpectra/L2/PT4S	yes	
BAR_1O_L2_RCNT	10.48322/vnnj-3z47	spase://NASA/NumericalData/BARREL/1O/RateCounter/L2/PT4S	yes	
BAR_1O_L2_SSPC	10.48322/ksyp-7m93	spase://NASA/NumericalData/BARREL/1O/SlowSpectra/L2/PT32S	yes	
BAR_1Q_L2_EPHM	10.48322/h8fk-8v43	spase://NASA/NumericalData/BARREL/1Q/Ephemeris/L2/PT4S	yes	
BAR_1Q_L2_FSPC	10.48322/9e32-1f82	spase://NASA/NumericalData/BARREL/1Q/FastSpectra/L2/PT0.05S	yes	
BAR_1Q_L2_HKPG	10.48322/y9yd-dm68	spase://NASA/NumericalData/BARREL/1Q/Housekeeping/L2/PT40S	yes	
BAR_1Q_L2_MAGN	10.48322/fxmc-pd46	spase://NASA/NumericalData/BARREL/1Q/Magnetometer/L2/PT0.25S	yes	
BAR_1Q_L2_MSPC	10.48322/fpq5-v930	spase://NASA/NumericalData/BARREL/1Q/MediumSpectra/L2/PT4S	yes	
BAR_1Q_L2_RCNT	10.48322/kzg3-3n69	spase://NASA/NumericalData/BARREL/1Q/RateCounter/L2/PT4S	yes	
BAR_1Q_L2_SSPC	10.48322/dv3a-9472	spase://NASA/NumericalData/BARREL/1Q/SlowSpectra/L2/PT32S	yes	
BAR_1R_L2_EPHM	10.48322/wwk9-ag68	spase://NASA/NumericalData/BARREL/1R/Ephemeris/L2/PT4S	yes	
BAR_1R_L2_FSPC	10.48322/vb76-v853	spase://NASA/NumericalData/BARREL/1R/FastSpectra/L2/PT0.05S	yes	
BAR_1R_L2_HKPG	10.48322/5xzc-3891	spase://NASA/NumericalData/BARREL/1R/Housekeeping/L2/PT40S	yes	
BAR_1R_L2_MAGN	10.48322/4mcm-d772	spase://NASA/NumericalData/BARREL/1R/Magnetometer/L2/PT0.25S	yes	
BAR_1R_L2_MSPC	10.48322/44q9-sk93	spase://NASA/NumericalData/BARREL/1R/MediumSpectra/L2/PT4S	yes	
BAR_1R_L2_RCNT	10.48322/kga8-wm09	spase://NASA/NumericalData/BARREL/1R/RateCounter/L2/PT4S	yes	
BAR_1R_L2_SSPC	10.48322/qnm3-9849	spase://NASA/NumericalData/BARREL/1R/SlowSpectra/L2/PT32S	yes	
BAR_1S_L2_EPHM	10.48322/stcw-qq17	spase://NASA/NumericalData/BARREL/1S/Ephemeris/L2/PT4S	yes	
BAR_1S_L2_FSPC	10.48322/7ww4-qj81	spase://NASA/NumericalData/BARREL/1S/FastSpectra/L2/PT0.05S	yes	
BAR_1S_L2_HKPG	10.48322/tcz9-xv08	spase://NASA/NumericalData/BARREL/1S/Housekeeping/L2/PT40S	yes	
BAR_1S_L2_MAGN	10.48322/e5za-b739	spase://NASA/NumericalData/BARREL/1S/Magnetometer/L2/PT0.25S	yes	
BAR_1S_L2_MSPC	10.48322/vfpb-r487	spase://NASA/NumericalData/BARREL/1S/MediumSpectra/L2/PT4S	yes	
BAR_1S_L2_RCNT	10.48322/sqsh-9282	spase://NASA/NumericalData/BARREL/1S/RateCounter/L2/PT4S	yes	
